央视频道,#genre#
CCTV1,http://cntv.lat/tv/live.php?auth=231110&id=cctv1HD
CCTV2,http://cntv.lat/tv/live.php?auth=231110&id=cctv2HD
CCTV3,http://cntv.lat/tv/live.php?auth=231110&id=cctv3HD
CCTV4,http://cntv.lat/tv/live.php?auth=231110&id=cctv4HD
CCTV5,http://cntv.lat/tv/live.php?auth=231110&id=cctv5HD
CCTV6,http://cntv.lat/tv/live.php?auth=231110&id=cctv6HD
CCTV7,http://cntv.lat/tv/live.php?auth=231110&id=cctv7HD
CCTV8,http://cntv.lat/tv/live.php?auth=231110&id=cctv8HD
CCTV9,http://cntv.lat/tv/live.php?auth=231110&id=cctv9HD
CCTV10,http://cntv.lat/tv/live.php?auth=231110&id=cctv10HD
CCTV11,http://cntv.lat/tv/live.php?auth=231110&id=cctv11HD
CCTV12,http://cntv.lat/tv/live.php?auth=231110&id=cctv12HD
CCTV13,http://cntv.lat/tv/live.php?auth=231110&id=CCTVNewsHD
CCTV14,http://cntv.lat/tv/live.php?auth=231110&id=cctvseHD
CCTV15,http://cntv.lat/tv/live.php?auth=231110&id=cctv15HD
CCTV16,http://cntv.lat/tv/live.php?auth=231110&id=cctv16HD
CCTV17,http://cntv.lat/tv/live.php?auth=231110&id=cctv17HD
CCTV5+,http://cntv.lat/tv/live.php?auth=231110&id=cctv5SportHD
CCTV4K,http://cntv.lat/tv/live.php?auth=231110&id=CCTV4K

卫视频道,#genre#
河北卫视,http://cntv.lat/tv/live.php?auth=231110&id=hebeiSD
北京卫视,http://cntv.lat/tv/live.php?auth=231110&id=beijingHD
湖南卫视,http://cntv.lat/tv/live.php?auth=231110&id=hunanHD
浙江卫视,http://cntv.lat/tv/live.php?auth=231110&id=zhejiangHD
东方卫视,http://cntv.lat/tv/live.php?auth=231110&id=shanghaiHD
天津卫视,http://cntv.lat/tv/live.php?auth=231110&id=tianjinHD
重庆卫视,http://cntv.lat/tv/live.php?auth=231110&id=chongqingHD
黑龙江卫视,http://cntv.lat/tv/live.php?auth=231110&id=heilongjiangHD
吉林卫视,http://cntv.lat/tv/live.php?auth=231110&id=jilinHD
辽宁卫视,http://cntv.lat/tv/live.php?auth=231110&id=liaoningHD
宁夏卫视,http://cntv.lat/tv/live.php?auth=231110&id=ningxia
青海卫视,http://cntv.lat/tv/live.php?auth=231110&id=qinghaiSD
山西卫视,http://cntv.lat/tv/live.php?auth=231110&id=shanxiSD
山东卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001028/index.m3u8
安徽卫视,http://cntv.lat/tv/live.php?auth=231110&id=anhuiSD
河南卫视,http://cntv.lat/tv/live.php?auth=231110&id=henanHD
湖北卫视,http://cntv.lat/tv/live.php?auth=231110&id=hubeiSD
江西卫视,http://cntv.lat/tv/live.php?auth=231110&id=jiangxiHD
江苏卫视,http://cntv.lat/tv/live.php?auth=231110&id=jiangsuHD
东南卫视,http://cntv.lat/tv/live.php?auth=231110&id=dongnanHD
广东卫视,http://cntv.lat/tv/live.php?auth=231110&id=guangdongHD
深圳卫视,http://cntv.lat/tv/live.php?auth=231110&id=shenzhenHD
广西卫视,http://cntv.lat/tv/live.php?auth=231110&id=guangxiHD
云南卫视,http://cntv.lat/tv/live.php?auth=231110&id=yunnanSD

体育频道,#genre#
纬来体育,http://cloud.yumixiu768.com/tmp/123.m3u8
ELEVEN体育-1,http://103.45.68.47/gy/gy224/xsj.php?id=eleven-sport1
ELEVEN体育-2,http://103.45.68.47/gy/gy224/xsj.php?id=eleven-sport2
